record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
30862,6,4,2000,9,OT,F,20,31
16533,10,7,1989,8,DM,F,37,45
13168,7,26,1987,8,PE,F,,22
34223,6,15,2002,22,PB,F,26,26
25426,4,12,1997,17,DM,M,37,51
7968,6,17,1983,18,OT,F,20,22
14096,2,22,1988,13,PE,F,21,18
8115,7,17,1983,3,OL,F,20,49
29442,4,17,1999,12,DM,M,37,46
13230,8,25,1987,21,PM,M,20,22
14287,3,21,1988,15,PE,F,20,25
16191,6,4,1989,9,DM,M,36,44
219,9,13,1977,13,DM,M,36,48
29856,9,12,1999,4,,,,
26446,7,9,1997,2,PP,,,
30822,6,4,2000,4,PP,F,22,15
7767,4,17,1983,3,PF,M,15,6
22454,7,20,1995,1,PH,F,23,29
34470,7,13,2002,18,PB,F,26,23
4645,7,7,1981,21,,,,
21070,8,20,1993,14,DM,M,37,45
12633,4,25,1987,12,OL,F,21,27
13280,8,26,1987,3,PP,F,21,14
23637,3,24,1996,5,DO,F,36,49
4374,5,3,1981,17,DS,M,51,94
27640,3,2,1998,3,DO,M,37,
16594,11,4,1989,7,RM,F,15,9
34591,7,14,2002,11,PP,M,22,13
9578,9,30,1984,8,DO,F,35,65
17045,1,29,1990,19,RM,F,19,11
4412,5,3,1981,7,,,,
4458,5,4,1981,4,DS,F,54,133
22820,9,24,1995,8,PP,M,22,19
27588,3,1,1998,1,DS,M,46,
12965,7,1,1987,15,OT,F,20,24
35380,12,8,2002,15,PB,F,25,32
2467,2,25,1980,4,DM,F,33,40
6600,9,18,1982,13,DM,M,36,48
14453,5,14,1988,20,NL,F,31,165
8888,2,5,1984,9,DO,M,37,44
6434,8,16,1982,3,PP,M,21,12
34138,5,16,2002,8,PB,F,26,29
11825,9,6,1986,6,DO,F,33,35
26216,6,11,1997,21,PB,F,26,30
16786,12,4,1989,19,RM,F,17,9
30019,11,7,1999,11,DM,M,34,27
27290,11,22,1997,1,PB,F,27,30
13271,8,26,1987,15,PM,F,20,25
23677,4,14,1996,20,AH,,,
25986,6,9,1997,4,PF,M,17,9
31307,8,26,2000,11,PB,M,25,27
31964,4,21,2001,17,PP,F,22,20
6626,9,19,1982,20,DM,F,37,41
25297,3,16,1997,9,OL,F,21,31
5588,3,29,1982,21,PF,M,16,8
11489,5,11,1986,2,DM,M,37,44
6380,8,15,1982,21,PF,F,15,7
26408,7,9,1997,11,OT,F,19,35
4505,6,4,1981,4,DS,F,47,62
14592,6,12,1988,2,AH,,,
22615,8,27,1995,8,PP,M,23,20
18953,8,8,1991,9,DM,F,36,36
33468,2,9,2002,19,PE,F,20,18
2685,3,9,1980,11,RM,F,,14
23030,12,2,1995,17,PF,M,16,11
34699,9,10,2002,15,DM,F,38,
25450,4,12,1997,22,DM,F,37,53
12281,2,1,1987,11,DM,M,35,46
1710,3,31,1979,11,DS,M,,
1679,3,31,1979,22,DM,M,37,50
13195,8,25,1987,6,DO,M,37,48
8314,9,10,1983,12,SA,,,
28496,9,19,1998,18,PP,M,22,16
31655,12,22,2000,21,PB,F,26,28
1790,5,29,1979,12,DM,M,37,43
27019,10,25,1997,1,DO,F,34,45
34653,7,14,2002,15,PB,F,25,29
86,8,20,1977,18,DM,F,33,40
20226,7,31,1992,4,PP,M,22,12
34124,5,16,2002,9,OT,F,20,26
21871,10,13,1994,8,DM,M,35,44
30030,11,7,1999,8,OT,M,19,11
18727,5,14,1991,8,DM,M,33,41
27960,5,29,1998,14,PP,F,21,16
2641,3,9,1980,11,DS,M,,147
33017,10,14,2001,16,OT,F,21,24
15689,3,12,1989,12,RM,M,17,11
14551,6,11,1988,21,NL,F,32,32
4722,7,31,1981,12,DM,M,37,39
14588,6,12,1988,14,DM,M,40,52
22140,3,5,1995,3,DM,F,37,42
23436,2,25,1996,5,PF,F,16,7
8998,4,9,1984,24,DO,F,36,46
2912,4,18,1980,5,DM,F,,43
5633,3,30,1982,4,DM,M,37,44
30717,5,1,2000,3,PB,M,26,27
352,11,12,1977,1,DM,M,36,40
12351,3,1,1987,17,DM,M,35,47
24940,2,8,1997,19,PF,F,17,8
5930,5,22,1982,5,NL,F,33,205